City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
marsh harbour,24,BS,1541178753,96,26.54,-77.06,82.22,16.02
ongandjera,0,NA,1541178753,32,-17.88,15.07,82.36,3.49
wellington,90,CA,1541175180,100,44.87,-63.61,55.4,11.41
lincoln,24,AR,1541178754,72,-34.87,-61.53,73.13,14
vostok,0,RU,1541178755,67,46.45,135.83,17.02,3.15
hisar,56,IN,1541178755,61,29.16,75.73,73.49,8.08
biu,8,NG,1541178756,43,10.61,12.19,78.35,2.04
coquimbo,0,CL,1541174400,67,-29.95,-71.34,62.6,17.22
kamina,44,CD,1541178757,88,-8.74,25,72.37,6.51
okha,20,RU,1541178757,86,53.59,142.95,36.59,11.21
sampit,88,ID,1541178702,97,-2.54,112.95,76.6,3.04
northam,40,AU,1541176200,82,-31.65,116.67,59.0,4.7
mandalgovi,92,MN,1541178758,61,45.76,106.27,22.6,18.7
trairi,0,BR,1541178758,100,-3.28,-39.27,80.65,19.26
mahajanga,40,MG,1541174400,78,-15.72,46.32,82.4,6.93
lusambo,80,CD,1541178759,94,-4.97,23.44,74.39,2.15
upata,100,VE,1541178760,83,8.02,-62.41,78.62,10.42
port-gentil,75,GA,1541174400,78,-0.72,8.78,82.4,12.75
bagdarin,0,RU,1541178761,38,54.44,113.59,4.55,8.86
berbera,0,SO,1541178761,56,10.44,45.01,68.77,4.94
hit,44,IQ,1541178761,55,33.64,42.83,59.32,2.59
zhucheng,0,CN,1541174400,42,30.85,114.8,66.2,4.47
liverpool,92,CA,1541178762,91,44.04,-64.71,57.16,18.81
havoysund,0,NO,1541177400,87,71,24.66,42.8,21.92
mansa,0,IN,1541178000,45,23.43,72.66,84.2,3.36
broome,8,AU,1541176200,78,-17.97,122.23,80.6,4.7
meulaboh,100,ID,1541178764,100,4.14,96.13,79.21,9.86
sechura,56,PE,1541178764,76,-5.56,-80.82,74.98,7.52
stawell,0,AU,1541178764,65,-37.06,142.77,51.31,11.43
tadine,20,NC,1541178765,100,-21.55,167.88,71.83,22.06
maniitsoq,0,GL,1541178765,100,65.42,-52.9,14.95,7.52
inverell,64,AU,1541178765,61,-29.78,151.11,63.37,8.86
santa ana,92,PE,1541178766,100,-13.07,-75.14,40.96,0.13
uaua,0,BR,1541178766,30,-9.84,-39.48,94.82,7.4
bacolod,56,PH,1541178767,91,10.68,122.95,77.45,4.72
ukiah,1,US,1541174160,79,39.15,-123.21,51.08,2.37
jackson,75,US,1541178000,68,35.61,-88.82,55.4,5.82
sistranda,75,NO,1541177400,87,63.73,8.83,44.6,10.29
bandar-e lengeh,32,IR,1541174400,42,26.56,54.88,82.4,9.17
sobolevo,92,RU,1541178769,95,54.43,31.9,46.0,13
yar-sale,36,RU,1541178829,100,66.83,70.83,10.72,17.92
maragogi,0,BR,1541178830,70,-9.01,-35.22,83.84,12.21
bocana de paiwas,20,NI,1541178830,80,12.79,-85.12,82.67,6.17
santa isabel do rio negro,88,BR,1541178830,100,-0.41,-65.02,76.15,6.73
hirara,92,JP,1541178831,100,24.8,125.28,76.37,27.98
basco,92,PH,1541178831,100,20.45,121.97,77.77,6.73
mungaoli,0,IN,1541178831,63,24.41,78.09,67.51,4.05
svetlogorsk,75,RU,1541176200,74,53.14,59.15,35.6,4.47
ovsyanka,76,RU,1541178833,48,53.58,126.91,28.58,8.41
chabahar,12,IR,1541178833,92,25.29,60.65,81.37,3.6
badarwas,56,IN,1541178834,52,24.97,77.57,69.62,4.94
aksay,8,KZ,1541178834,79,51.17,53.01,28.36,10.87
guarapari,0,BR,1541174400,74,-20.67,-40.5,80.6,16.11
bathurst,90,CA,1541176380,93,47.63,-65.65,37.4,2.24
bilma,0,NE,1541178773,17,18.69,12.92,74.71,4.38
kuito,20,AO,1541178836,45,-12.38,16.94,70.97,3.15
college,1,US,1541177880,85,64.86,-147.8,3.92,7.07
harrisonburg,40,US,1541177700,71,38.45,-78.87,71.06,9.17
hami,80,CN,1541178747,77,42.84,93.51,32.27,3.04
pachino,40,IT,1541177400,77,36.72,15.09,64.4,4.7
gombe,0,NG,1541178838,43,10.28,11.16,80.15,0.92
newnan,90,US,1541176500,71,33.38,-84.8,62.6,10.29
sambek,0,RU,1541178838,53,47.34,39.02,49.28,16.02
coihaique,75,CL,1541174400,41,-45.58,-72.07,57.2,6.93
burnie,24,AU,1541178839,100,-41.05,145.91,53.47,33.35
filadelfia,0,PY,1541178839,65,-22.35,-60.04,90.59,15.68
praia da vitoria,20,PT,1541174400,83,38.73,-27.07,73.4,24.18
prince rupert,90,CA,1541178720,93,54.32,-130.32,50.0,6.93
mezen,80,RU,1541178840,93,65.85,44.24,31.78,2.71
tutoia,20,BR,1541174400,46,-2.76,-42.27,89.6,20.8
bubaque,20,GW,1541174400,52,11.28,-15.83,91.4,8.05
planadas,75,CO,1541174400,54,3.2,-75.65,84.2,4.7
ordzhonikidze,0,UA,1541178842,97,44.96,35.36,55.85,9.86
pochutla,75,MX,1541173620,70,15.74,-96.47,86.0,6.85
mayumba,0,GA,1541178843,94,-3.44,10.65,77.9,6.73
paamiut,36,GL,1541178843,100,61.99,-49.67,30.29,6.17
broken hill,0,AU,1541178844,46,-31.97,141.45,64.67,8.97
grindavik,75,IS,1541176200,69,63.84,-22.43,35.6,16.11
half moon bay,20,US,1541178000,100,37.46,-122.43,66.02,4.7
caravelas,0,BR,1541178845,100,-17.73,-39.27,78.67,13.78
byron bay,0,AU,1541176200,82,-28.65,153.62,66.2,6.93
solnechnyy,64,RU,1541178846,80,50.72,136.64,29.12,5.17
porto santo,40,PT,1541176200,72,33.07,-16.34,69.8,11.41
oskarshamn,75,SE,1541177400,93,57.26,16.44,48.2,5.82
jalu,12,LY,1541178847,47,29.03,21.55,67.87,8.3
kotelnikovo,0,RU,1541178847,57,47.63,43.14,42.17,13.22
paris,75,US,1541177700,71,36.3,-88.33,53.6,6.93
shingu,76,JP,1541178808,100,33.72,135.99,60.67,10.09
quatre cocos,20,MU,1541174400,73,-20.21,57.76,77.0,5.82
palompon,44,PH,1541178849,100,11.05,124.38,82.4,6.73
oktyabrskiy,0,RU,1541176200,75,55.61,37.97,44.6,8.95
grand gaube,20,MU,1541174400,73,-20.01,57.66,77.0,5.82
huzhou,92,CN,1541178910,87,30.86,120.1,54.68,3.15
ushtobe,0,KZ,1541178910,68,45.25,77.98,13.15,0.92
lindi,20,TZ,1541174400,78,-10,39.71,80.6,3.94
teguldet,88,RU,1541178912,70,57.31,88.17,25.07,12.66
barinitas,48,VE,1541178912,90,8.76,-70.41,72.23,2.37
victor harbor,90,AU,1541176200,63,-35.55,138.62,60.8,20.8
luzhou,0,CN,1541178914,66,28.89,105.45,54.28,5.95
saqqez,12,IR,1541178914,40,36.24,46.27,47.08,6.62
chapais,90,CA,1541176920,84,49.78,-74.86,32.0,9.17
labuhan,20,ID,1541178915,94,-2.54,115.51,73.94,1.14
karratha,0,AU,1541178916,56,-20.74,116.85,72.5,7.96
biak,48,ID,1541178916,96,-0.91,122.88,78.67,1.36
whyalla,0,AU,1541174400,72,-33.04,137.58,60.8,10.29
shimoda,32,JP,1541178917,100,34.7,138.93,63.28,9.19
ostersund,90,SE,1541177400,93,63.18,14.64,37.4,3.36
montevideo,0,UY,1541178000,59,-34.83,-56.17,69.8,14.99
khandagayty,8,RU,1541178918,59,50.73,92.05,-10.26,2.59
dubti,0,ET,1541178919,36,11.74,41.09,74.03,8.63
tateyama,0,JP,1541178919,100,36.66,137.31,31.33,2.48
spearfish,90,US,1541177700,64,44.49,-103.86,37.4,3.38
san ramon,40,BO,1541174400,66,-13.27,-64.62,91.4,11.41
mitsamiouli,20,KM,1541174400,61,-11.38,43.28,82.4,5.82
gorgan,20,IR,1541174400,87,36.84,54.43,55.4,0.25
nantucket,90,US,1541177340,88,41.28,-70.1,66.2,13.87
sur,0,OM,1541178921,100,22.57,59.53,78.08,12.66
tikapur,0,NP,1541178922,58,28.53,81.12,58.78,3.6
manhattan,75,US,1541174160,65,39.18,-96.57,49.82,10.29
sorland,75,NO,1541177400,81,67.67,12.69,46.4,24.16
guiratinga,24,BR,1541178923,63,-16.35,-53.76,90.14,4.38
naron,75,ES,1541178000,93,43.52,-8.15,57.2,4.7
tessalit,0,ML,1541178924,26,20.2,1.01,83.08,6.4
tchaourou,12,BJ,1541178924,34,8.89,2.6,86.77,4.05
rafael lucio,92,MX,1541178925,97,19.59,-96.99,60.17,2.04
srandakan,24,ID,1541178925,90,-7.94,110.25,72.91,2.48
beipiao,0,CN,1541178925,87,41.8,120.76,43.93,8.97
aksarka,0,RU,1541178926,75,66.56,67.8,8.2,7.96
